[2025-04-16 11:18:38] CPU: 15.0%, Memory: 23.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:38] CPU: 7.5%, Memory: 23.0%, Disk Read: 0.00 B/s, Disk Write: 52.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:38] CPU: 2.6%, Memory: 23.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:39] CPU: 5.0%, Memory: 23.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:39] CPU: 38.5%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:39] CPU: 13.5%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:40] CPU: 2.6%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 48.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:40] CPU: 33.3%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 112.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:40] CPU: 15.0%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:41] CPU: 7.3%, Memory: 23.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 114.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:41] CPU: 17.8%, Memory: 23.3%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:42] CPU: 26.2%, Memory: 23.4%, Disk Read: 16.00 KB/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 86.00 B/s
[2025-04-16 11:18:42] CPU: 2.6%, Memory: 23.4%, Disk Read: 0.00 B/s, Disk Write: 100.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:42] CPU: 15.6%, Memory: 23.4%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:43] CPU: 42.9%, Memory: 23.5%, Disk Read: 8.00 KB/s, Disk Write: 104.00 KB/s, Network Sent: 0.00 B/s, Network Received: 0.00 B/s
[2025-04-16 11:18:43] CPU: 35.0%, Memory: 23.6%, Disk Read: 4.00 KB/s, Disk Write: 0.00 B/s, Network Sent: 5.62 KB/s, Network Received: 327.00 B/s
[2025-04-16 11:18:43] CPU: 25.6%, Memory: 23.6%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 4.45 KB/s, Network Received: 7.46 KB/s
[2025-04-16 11:18:44] CPU: 32.6%, Memory: 23.6%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 4.46 KB/s, Network Received: 10.39 KB/s
[2025-04-16 11:18:44] CPU: 33.3%, Memory: 23.7%, Disk Read: 312.00 KB/s, Disk Write: 0.00 B/s, Network Sent: 796.00 B/s, Network Received: 2.86 KB/s
[2025-04-16 11:18:45] CPU: 28.9%, Memory: 23.7%, Disk Read: 0.00 B/s, Disk Write: 292.00 KB/s, Network Sent: 224.00 B/s, Network Received: 132.00 B/s
[2025-04-16 11:18:45] CPU: 50.0%, Memory: 23.8%, Disk Read: 132.00 KB/s, Disk Write: 0.00 B/s, Network Sent: 4.55 KB/s, Network Received: 26.82 KB/s
[2025-04-16 11:18:45] CPU: 43.9%, Memory: 23.8%, Disk Read: 84.00 KB/s, Disk Write: 0.00 B/s, Network Sent: 11.09 KB/s, Network Received: 324.71 KB/s
[2025-04-16 11:18:46] CPU: 53.7%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 8.98 KB/s, Network Received: 435.12 KB/s
[2025-04-16 11:18:46] CPU: 61.5%, Memory: 23.7%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 11.87 KB/s, Network Received: 471.12 KB/s
